tmvcodigo;tmvdescricao;tmvatualiza
25059;"HYUNDAI/HB20S 1.6M COMF  ";"N"
25060;"HYUNDAI/HB20S 1.6M STYL  ";"N"
25061;"HYUNDAI/HB20X 1.6A 1.6 A ";"N"
25062;"HYUNDAI/HB20X 1.6A PREMI ";"N"
25063;"HYUNDAI/HB20X 1.6M 1.6 M ";"N"
25064;"HYUNDAI/HB20X 1.6M PREMI ";"N"
25065;"HYUNDAI/HB20X 1.6M UNIQU ";"N"
25066;"HYUNDAI/HR UNIVERSAL.AMB ";"N"
25067;"I/ACITROEN ZX 1.9I VOLCAN";"N"
25068;"I/ACURA TL               ";"N"
25069;"I/ALFA ROMEO 156 JTD 2.4 ";"N"
25070;"I/ALFA ROMEO GIULIETTA   ";"N"
25071;"I/ALFA ROMEO SUPER SPRI  ";"N"
25072;"I/AMERICAN CHOPPER R T   ";"N"
25073;"I/APRILIA PEGASO 650     ";"N"
25074;"I/ASTON MARTIN DB MKIII  ";"N"
25075;"I/ASTON MARTIN V8 CONV   ";"N"
25076;"I/AUDI A1 1.4TFSI SP     ";"N"
25077;"I/AUDI A1 SPB 1.4TFSI    ";"N"
25078;"I/AUDI A3 1.4TFSI        ";"N"
25079;"I/AUDI A3 SPB 1.4TFSI    ";"N"
25080;"I/AUDI A4 2.0TFSI        ";"N"
25081;"I/AUDI A4 AV 2.0TFSI     ";"N"
25082;"I/AUDI A5 C PREMIUM PLUS ";"N"
25083;"I/AUDI A5 CP 2.0TFSI     ";"N"
25084;"I/AUDI A6 3.0TFSI        ";"N"
25085;"I/AUDI A6 AVANT 3.0TFSI  ";"N"
25086;"I/AUDI A7 PRESTIGE       ";"N"
25087;"I/AUDI A8 L              ";"N"
25088;"I/AUDI FOX COUPE         ";"N"
25089;"I/AUDI Q3 2.0TFSI AMB    ";"N"
25090;"I/AUDI Q5 2.0T           ";"N"
25091;"I/AUDI Q5 2.0TFSISTRONIC ";"N"
25092;"I/AUDI Q5 PREMIUM        ";"N"
25093;"I/AUDI Q7 3.0 TDI        ";"N"
25094;"I/AUDI Q7 3.0T QUATTRO   ";"N"
25095;"I/AUDI Q7 3.0TFSI AT     ";"N"
25096;"I/AUDI R8 4.2FSI SPYDER  ";"N"
25097;"I/AUDI R8 5.2 V10 GT SPD ";"N"
25098;"I/AUDI RS3 2.5TFSI       ";"N"
25099;"I/AUDI S3 2.0TFSI        ";"N"
25100;"I/AUDI S4 3.0TFSI        ";"N"
25101;"I/AUDI S5 CABRIO 3.0TFSI ";"N"
25102;"I/AUDI S5 SPB 3.0TFSI    ";"N"
25103;"I/AUDI S6 4.0TFSI        ";"N"
25104;"I/AUDI S7 4.0TFSI        ";"N"
25105;"I/AUDI TT RS 2.5T        ";"N"
25106;"I/AUDI TTRS RD 2.5TFSI   ";"N"
25107;"I/AUSTIN HEALEY 3000 BT7 ";"N"
25108;"I/AUSTIN HEALEY MKIIICON ";"N"
25109;"I/AUSTIN MINI CLUBMAN    ";"N"
25110;"I/BASHAN BS-DGW          ";"N"
25111;"I/BASHAN BS-XSG          ";"N"
25112;"I/BASHAN ECO 50-3 50CC   ";"N"
25113;"I/BASHAN MC-01 50        ";"N"
25114;"I/BASHAN NEW QUICK 150   ";"N"
25115;"I/BASHAN TC200           ";"N"
25116;"I/BASHAN TPGS 804        ";"N"
25117;"I/BEILU BL50-2           ";"N"
25118;"I/BENELLI CENTURY R 1130 ";"N"
25119;"I/BENELLI TRE 899 K      ";"N"
25120;"I/BENTLEY CONT. GTC V8   ";"N"
25121;"I/BENTLEY JA YO TISALLON ";"N"
25122;"I/BENTLEY SUPERS COUPE   ";"N"
25123;"I/BENZHOU BZ50QT39 50    ";"N"
25124;"I/BENZHOU SUNNY 50       ";"N"
25125;"I/BENZHOU YY150T-32 SMAX ";"N"
25126;"I/BENZHOU YY50QT-3B SMAX ";"N"
25127;"I/BIMOTA TESI 3D EVO     ";"N"
25128;"I/BMW 118I 1A31          ";"N"
25129;"I/BMW 125I 1A51          ";"N"
25130;"I/BMW 320I 3B11          ";"N"
25131;"I/BMW 325IT              ";"N"
25132;"I/BMW 328I BG11          ";"N"
25133;"I/BMW 330 XI             ";"N"
25134;"I/BMW 335I AH3 3F91      ";"N"
25135;"I/BMW 530I FR11          ";"N"
25136;"I/BMW 650I CABRIO LZ31   ";"N"
25137;"I/BMW 650I COUPE LX31    ";"N"
25138;"I/BMW 740I KA41          ";"N"
25139;"I/BMW 750 LI HYBRID KX81 ";"N"
25140;"I/BMW ACTIVHYB 7SWB KX61 ";"N"
25141;"I/BMW F650 REGINO        ";"N"
25142;"I/BMW K 1600 GTL         ";"N"
25143;"I/BMW M135I 1B71         ";"N"
25144;"I/BMW M3 GTS KG91        ";"N"
25145;"I/BMW M5 FV91            ";"N"
25146;"I/BMW R60 2              ";"N"
25147;"I/BMW R69 S              ";"N"
25148;"I/BMW R90 6              ";"N"
25149;"I/BMW S1000RR HP4        ";"N"
25150;"I/BMW X1 XDRIVE 28I      ";"N"
25151;"I/BMW X1 XDRIVE28I VM11  ";"N"
25152;"I/BMW X3 XDRIVE 20I      ";"N"
25153;"I/BMW X3 XDRIVE 35I      ";"N"
25154;"I/BMW X3 XDRIVE20I WX31  ";"N"
25155;"I/BMW X5 XDRIVE 30D      ";"N"
25156;"I/BMW Z4SDRIVE20I LL31   ";"N"
25157;"I/BRILLIANCE FRV CROSSAT ";"N"
25158;"I/BRILLIANCE FSV GLS AT  ";"N"
25159;"I/BRP SPYDER RS S        ";"N"
25160;"I/BUICK CENTURY          ";"N"
25161;"I/BUICK GRAN SPORT GS400 ";"N"
25162;"I/BUICK LACROSSE CXS     ";"N"
25163;"I/BUICK SERIES 128       ";"N"
25164;"I/BUICK SPECIAL BUSINES  ";"N"
25165;"I/BUICK SUPER CONV       ";"N"
25166;"I/BUICK WILDCAT          ";"N"
25167;"I/BYD F6 GS-I 2.0L       ";"N"
25168;"I/CADILLAC 370C          ";"N"
25169;"I/CADILLAC CTS           ";"N"
25170;"I/CADILLAC DEVILLE       ";"N"
25171;"I/CADILLAC ESCALADE A PL ";"N"
25172;"I/CADILLAC ESCALADE PREM ";"N"
25173;"I/CADILLAC HT6           ";"N"
25174;"I/CADILLAC M TOURING     ";"N"
25175;"I/CADILLAC SERIE 75 CON  ";"N"
25176;"I/CADILLAC SERIES 75 FLE ";"N"
25177;"I/CADILLAC SEVILLE ROADS ";"N"
25178;"I/CADILLAC V12           ";"N"
25179;"I/CFMOTO JETMAX CF250T 6 ";"N"
25180;"I/CHANGAN ALSVIN HB 1.5  ";"N"
25181;"I/CHANGAN EADO C5        ";"N"
25182;"I/CHANGAN MINI BENNI 1.0 ";"N"
25183;"I/CHANGAN STAR FAMILY    ";"N"
25184;"I/CHANGHE COOLCAR E SLX  ";"N"
25185;"I/CHARMING BRAVAX BVX125 ";"N"
25186;"I/CHARMING BRAVAX BX50CC ";"N"
25187;"I/CHARMING BULL SPORT120 ";"N"
25188;"I/CHERY CELER 1.5 FLEX   ";"N"
25189;"I/CHERY CIELO 1.6 VVT    ";"N"
25190;"I/CHERY CIELO 1.8 MTHB   ";"N"
25191;"I/CHERY FULWIN 2 SEDAN   ";"N"
25192;"I/CHERY KARRY Q22        ";"N"
25193;"I/CHERY KARRY Q22 BCF    ";"N"
25194;"I/CHERY QQ 1.0           ";"N"
25195;"I/CHERY RELY H13 VAN     ";"N"
25196;"I/CHERY TIGGO 1.8        ";"N"
25197;"I/CHEV SONIC LT HB AT    ";"N"
25198;"I/CHEV SONIC LT NB AT    ";"N"
25199;"I/CHEV SONIC LTZ HB AT   ";"N"
25200;"I/CHEV SONIC LTZ NB AT   ";"N"
25201;"I/CHEVROLET 3.8 PUMFITRU ";"N"
25202;"I/CHEVROLET AVALANCHE B  ";"N"
25203;"I/CHEVROLET AVALANCHELTZ ";"N"
25204;"I/CHEVROLET C10 CHEYENNE ";"N"
25205;"I/CHEVROLET CAMARO 1LS   ";"N"
25206;"I/CHEVROLET CAMARO 2LS   ";"N"
25207;"I/CHEVROLET CAMARO 2SS C ";"N"
25208;"I/CHEVROLET CAMARO C 1LT ";"N"
25209;"I/CHEVROLET CAMARO HARDT ";"N"
25210;"I/CHEVROLET CAMARO V6 CO ";"N"
25211;"I/CHEVROLET CAMARO ZL1   ";"N"
25212;"I/CHEVROLET CHEYENNE     ";"N"
25213;"I/CHEVROLET CORVETTE 454 ";"N"
25214;"I/CHEVROLET CORVETTE ST  ";"N"
25215;"I/CHEVROLET CRUZE LT HB  ";"N"
25216;"I/CHEVROLET IMPALA SS C  ";"N"
25217;"I/CHEVROLET NOMAD S W    ";"N"
25218;"I/CHEVROLET PICKUP       ";"N"
25219;"I/CHEVROLET PR CDUPLA    ";"N"
25220;"I/CHEVROLET SILVERADO CS ";"N"
25221;"I/CHEVROLET SPARTAN FIRE ";"N"
25222;"I/CHEVROLET TAHOE LT     ";"N"
25223;"I/CHEVROLET TRAVERSE LS  ";"N"
25224;"I/CHEVROLET VIKING C60   ";"N"
25225;"I/CHRYSLER 300 LIMITED   ";"N"
25226;"I/CHRYSLER 300C 3.6L V6  ";"N"
25227;"I/CHRYSLER 300C V8       ";"N"
25228;"I/CHRYSLER 300G CONV     ";"N"
25229;"I/CHRYSLER NEW PORT      ";"N"
25230;"I/CHRYSLER NEWPORT SEDAN ";"N"
25231;"I/CHRYSLER SEBRING COUPE ";"N"
25232;"I/CHRYSLER TCOUNTRY TOUR ";"N"
25233;"I/CITROEN B73            ";"N"
25234;"I/CITROEN C4 20ATF EXCL  ";"N"
25235;"I/CITROEN C4 PIC SX A 5L ";"N"
25236;"I/CITROEN C5SD TURBO AUT ";"N"
25237;"I/CITROEN DS3 TURBO165M6 ";"N"
25238;"I/CITROEN DS5 1.6THP     ";"N"
25239;"I/CITROEN DS5 TURBO165A6 ";"N"
25240;"I/CITROEN XSAR PICASSO16 ";"N"
25241;"I/CNHTC HOWO A7          ";"N"
25242;"I/CNHTC HOWO SINOTRUK 64 ";"N"
25243;"I/CORD 812 BEVERLY       ";"N"
25244;"I/CROWN FIRE PUMPER      ";"N"
25245;"I/DACIA RENAULT DUSTER   ";"N"
25246;"I/DAF CF85 FT            ";"N"
25247;"I/DAF XF105 FTS          ";"N"
25248;"I/DAF XF105 FTS 460      ";"N"
25249;"I/DAF XF105 FTT 410      ";"N"
25250;"I/DAF XF105 FTT 510      ";"N"
25251;"I/DAJIANG BRAVAX BX260CF ";"N"
25252;"I/DAJIANG SLUNCE SB150   ";"N"
25253;"I/DAJIANG SOLEIL SB150   ";"N"
25254;"I/DAJIANG SUN SB50       ";"N"
25255;"I/DAYANG DY 150-28       ";"N"
25256;"I/DAYANG DY150-58COP2014 ";"N"
25257;"I/DAYANG DY50 WARRIOR    ";"N"
25258;"I/DESOTO S7              ";"N"
25259;"I/DFM MB EQ6400LF 1.0    ";"N"
25260;"I/DFM MINIBUS 1.0        ";"N"
25261;"I/DFM MINIBUS 1.0 LS     ";"N"
25262;"I/DFM MINIBUS 1.3 L      ";"N"
25263;"I/DFM MINIMPV 1.0        ";"N"
25264;"I/DFM MINIMPV 1.3        ";"N"
25265;"I/DFM MINITRUCK 1.0      ";"N"
25266;"I/DFM MINITRUCK 1.0 CD   ";"N"
25267;"I/DFM MINITRUCK 1.0 CDLW ";"N"
25268;"I/DFM MINITRUCK 1.3      ";"N"
25269;"I/DFM MINITRUCK 1.3 CD   ";"N"
25270;"I/DFM MINITRUCK 1.3 CDLW ";"N"
25271;"I/DFM MINIVAN 1.0        ";"N"
25272;"I/DODGE A100 LUXO        ";"N"
25273;"I/DODGE ASPEN RT         ";"N"
25274;"I/DODGE CALIBER MAINSTRE ";"N"
25275;"I/DODGE CHALLENGER SXT   ";"N"
25276;"I/DODGE CHARGER RALLYE   ";"N"
25277;"I/DODGE CORONET HARDTOP  ";"N"
25278;"I/DODGE D100             ";"N"
25279;"I/DODGE DART SPORT       ";"N"
25280;"I/DODGE DURANGO CIT AWD  ";"N"
25281;"I/DODGE DURANGO CITA3.6L ";"N"
25282;"I/DODGE DURANGO CREW     ";"N"
25283;"I/DODGE DURANGO HEAT     ";"N"
25284;"I/DODGE DURANGO RT RWD   ";"N"
25285;"I/DODGE HALF TON         ";"N"
25286;"I/DODGE MONACO SEDAN     ";"N"
25287;"I/DODGE NITRO SCHOCK 4X4 ";"N"
25288;"I/DODGE RAM 1500 4X4     ";"N"
25289;"I/DODGE RAM 1500 SPORT   ";"N"
25290;"I/DODGE RAM 1500 SRT10   ";"N"
25291;"I/DODGE RAM 2500 LARA LH ";"N"
25292;"I/DODGE RAM 2500 MEGA LA ";"N"
25293;"I/DODGE RAM3500 LARAMIE  ";"N"
25294;"I/DODGE TOURING CONV     ";"N"
25295;"I/DODGE VIPER GTS        ";"N"
25296;"I/DUCATI 1198 SP         ";"N"
25297;"I/DUCATI 1199 PANIGALE   ";"N"
25298;"I/DUCATI DIAVEL AMG S.E  ";"N"
25299;"I/DUCATI MLTSTRAD 1200ST ";"N"
25300;"I/FAW B50 COMFORT        ";"N"
25301;"I/FAW CA10 PICK UP       ";"N"
25302;"I/FAW CA4258P2K2T1EA81   ";"N"
25303;"I/FAW N5 LUXURY          ";"N"
25304;"I/FAW V2 LUXURY          ";"N"
25305;"I/FAW VITA SEDAN ELITE   ";"N"
25306;"I/FERRARI 365 GTC COUPE  ";"N"
25307;"I/FERRARI 599 SA APERTA  ";"N"
25308;"I/FERRARI FF             ";"N"
25309;"I/FERRARI TESTAROSSA     ";"N"
25310;"I/FIAT 500 ABARTH TURBO  ";"N"
25311;"I/FIAT 500 CABRIO AIR AT ";"N"
25312;"I/FIAT 500 CULT DUAL     ";"N"
25313;"I/FIAT 500 LOUNGE AIR AT ";"N"
25314;"I/FIAT 500 SPORT AIR AT  ";"N"
25315;"I/FIAT BERLINA 500L      ";"N"
25316;"I/FIAT FREEMONT EMOT AT6 ";"N"
25317;"I/FIAT FREEMONT PREC AT6 ";"N"
25318;"I/FIAT FREEMONT SE       ";"N"
25319;"I/FIAT MULTIPLA NATPOWER ";"N"
25320;"I/FIAT PALIO ATTRACT 1.4 ";"N"
25321;"I/FIAT PALIO ESSENCE 1.6 ";"N"
25322;"I/FIAT PALIO MILLE       ";"N"
25323;"I/FIAT PALIO SPORTIN 1.6 ";"N"
25324;"I/FIAT SIENA EL 1.0 FLEX ";"N"
25325;"I/FIAT SIENA TETRA 1.4   ";"N"
25326;"I/FISKER KARMA SPORT     ";"N"
25327;"I/FORD CAPRI COUPE       ";"N"
25328;"I/FORD E350 XLT SUPER DU ";"N"
25329;"I/FORD EDGE V6 FWD       ";"N"
25330;"I/FORD ESCORT GLX 16VF   ";"N"
25331;"I/FORD EXPEDITION XLS    ";"N"
25332;"I/FORD EXPLORER LIMITED  ";"N"
25333;"I/FORD F-150 FX4 3.5LCES ";"N"
25334;"I/FORD F-150 FX4 5.0LCES ";"N"
25335;"I/FORD F-150 SUPER CAB   ";"N"
25336;"I/FORD F-350 AWD         ";"N"
25337;"I/FORD F150SS SUPCAB 4X4 ";"N"
25338;"I/FORD F350 LARIAT 4X4CC ";"N"
25339;"I/FORD FAIRLANE CONV     ";"N"
25340;"I/FORD FIESTA SD 1.5LS   ";"N"
25341;"I/FORD FIESTA SD 1.6LSE  ";"N"
25342;"I/FORD FIESTA SD 1.6LTI  ";"N"
25343;"I/FORD FOCUS S 1.6 H     ";"N"
25344;"I/FORD FOCUS S AT 1.6 H  ";"N"
25345;"I/FORD FOCUS S AT 2.0 S  ";"N"
25346;"I/FORD FOCUS SE 1.6 S    ";"N"
25347;"I/FORD FOCUS SE AT 2.0 H ";"N"
25348;"I/FORD FOCUS TI AT 2.0 H ";"N"
25349;"I/FORD FOCUS ZTS         ";"N"
25350;"I/FORD FUSION 1.6        ";"N"
25351;"I/FORD FUSION FLEX       ";"N"
25352;"I/FORD FUSION SE FWD     ";"N"
25353;"I/FORD GALAXIE 2DHARDTOP ";"N"
25354;"I/FORD GALAXIE COUPE     ";"N"
25355;"I/FORD GRAND MARQUIS LS  ";"N"
25356;"I/FORD LINCOLN MKT CROSS ";"N"
25357;"I/FORD MAVERICK GRABBER  ";"N"
25358;"I/FORD MODEL 78 COUPE    ";"N"
25359;"I/FORD MODEL A CONV      ";"N"
25360;"I/FORD MUSTANG 3.8       ";"N"
25361;"I/FORD MUSTANG COBRA     ";"N"
25362;"I/FORD MUSTANG HT        ";"N"
25363;"I/FORD MUSTANG V8 COUPE  ";"N"
25364;"I/FORD PREFECT           ";"N"
25365;"I/FORD RANGER LTD CD4 32 ";"N"
25366;"I/FORD RANGER XL CD4 22  ";"N"
25367;"I/FORD RANGER XL CS4 22  ";"N"
25368;"I/FORD RANGER XLS CD2 32 ";"N"
25369;"I/FORD RANGER XLS CD4 32 ";"N"
25370;"I/FORD RANGER XLS CS2 25 ";"N"
25371;"I/FORD RANGER XLS CS4M32 ";"N"
25372;"I/FORD RANGER XLT CD2 25 ";"N"
25373;"I/FORD RANGER XLT CD4M32 ";"N"
25374;"I/FORD SOLLETEC MCA06.CH ";"N"
25375;"I/FORD TORINO            ";"N"
25376;"I/FORD TRANSIT 350L TA2  ";"N"
25377;"I/FORD TRANSIT CIRILO MC ";"N"
25378;"I/FORD TRANSIT MAR MC.CH ";"N"
25379;"I/FORD TRANSIT TCA MIS   ";"N"
25380;"I/FORD TRANSIT USAT AMB  ";"N"
25381;"I/FORD VERONA 1.8I GL    ";"N"
25382;"I/FORD VICTORIA TRANS.CH ";"N"
25383;"I/FOTON AUMARK 1039S     ";"N"
25384;"I/FOTON AUMARK 1099      ";"N"
25385;"I/FRAZER MANHATTAN 4DR   ";"N"
25386;"I/GEELY GX2 GL           ";"N"
25387;"I/GEELY RETRO CLASSIC    ";"N"
25388;"I/GM AVALANCHE 1500      ";"N"
25389;"I/GM IMPALA BUBBLE TOP   ";"N"
25390;"I/GM SILVERADO 1500 LTZ  ";"N"
25391;"I/GM SUBURBAN LS 25004WD ";"N"
25392;"I/GM TRAIL BLAZER LTZ    ";"N"
25393;"I/GMC HUMMER STRETCH LIM ";"N"
25394;"I/GMC M-H PALM BEACH 260 ";"N"
25395;"I/GMC SERIES 100 PICK UP ";"N"
25396;"I/GMC SIERRA 3500HD DENA ";"N"
25397;"I/GMC TERRAIN SLT-2      ";"N"
25398;"I/GMW SAILOR 2.2         ";"N"
25399;"I/GREAT WALL HAVAL H6 EL ";"N"
25400;"I/GUANGYU KAMAX 150      ";"N"
25401;"I/GUOJI SK250 SPORT N    ";"N"
25402;"I/GUZZI CALIFORNIA EV    ";"N"
25403;"I/H.DAVIDSON FLD         ";"N"
25404;"I/H.DAVIDSON FLHTCUSE7   ";"N"
25405;"I/H.DAVIDSON FLHTK       ";"N"
25406;"I/H.DAVIDSON FLHX        ";"N"
25407;"I/H.DAVIDSON FLSTF       ";"N"
25408;"I/H.DAVIDSON FXDF        ";"N"
25409;"I/H.DAVIDSON RKING CLASS ";"N"
25410;"I/H.DAVIDSON SPORTSTERFE ";"N"
25411;"I/H.DAVIDSON XL 1200C    ";"N"
25412;"I/HAFEI START PICK UP CD ";"N"
25413;"I/HAFEI START VAN        ";"N"
25414;"I/HAIDE CHD5051TSL       ";"N"
25415;"I/HAIMA 2 MT             ";"N"
25416;"I/HAIMA 3 HB MT          ";"N"
25417;"I/HAIMA 7 AT             ";"N"
25418;"I/HAOJIAN BRAVAX BVX50-S ";"N"
25419;"I/HAORIZI BULL SAVAGE150 ";"N"
25420;"I/HARLEY DAVIDSON KUHEAD ";"N"
25421;"I/HARLEY DAVIDSON SHHEAD ";"N"
25422;"I/HONDA ACCORD SE        ";"N"
25423;"I/HONDA ACURA TL         ";"N"
25424;"I/HONDA BENLY            ";"N"
25425;"I/HONDA CB 100           ";"N"
25426;"I/HONDA CB 1000R         ";"N"
25427;"I/HONDA CB 160           ";"N"
25428;"I/HONDA CB 900C          ";"N"
25429;"I/HONDA CB750            ";"N"
25430;"I/HONDA CBX              ";"N"
25431;"I/HONDA CBX 750F         ";"N"
25432;"I/HONDA CITY EX FLEX     ";"N"
25433;"I/HONDA CITY LX FLEX     ";"N"
25434;"I/HONDA CL350 SCRAMBLER  ";"N"
25435;"I/HONDA CL90 SCRAMBLER   ";"N"
25436;"I/HONDA CR-V EXL FLEX4WD ";"N"
25437;"I/HONDA CR-Z TOP         ";"N"
25438;"I/HONDA CT70             ";"N"
25439;"I/HONDA CX500TC TURBO    ";"N"
25440;"I/HONDA FURY VT 13CX     ";"N"
25441;"I/HONDA JC 58            ";"N"
25442;"I/HONDA ODYSSEY TOUR ELT ";"N"
25443;"I/HONDA S65 SPORT 65     ";"N"
25444;"I/HONDA SL70 K1          ";"N"
25445;"I/HONDA TRAIL 90         ";"N"
25446;"I/HONDA XR 600R          ";"N"
25447;"I/HONGXING NOBLE LX      ";"N"
25448;"I/HONGXING NOBLE SLX     ";"N"
25449;"I/HUANGHAI AOUJUN CD     ";"N"
25450;"I/HUANSONG 150 R         ";"N"
25451;"I/HUARI BRAVAX BV200     ";"N"
25452;"I/HUARI FOX 150R         ";"N"
25453;"I/HUARI HS250ZH          ";"N"
25454;"I/HUARI MARVA ONIX 50    ";"N"
25455;"I/HUARI MARVA VR150 WIND ";"N"
25456;"I/HUDSON PICK UP         ";"N"
25457;"I/HUSABERG FS 570        ";"N"
25458;"I/HYOSUNG ST7            ";"N"
25459;"I/HYUNDAI AZERA 3.0 V6   ";"N"
25460;"I/HYUNDAI ELANTRA 1.6L   ";"N"
25461;"I/HYUNDAI EQUUS 4.6      ";"N"
25462;"I/HYUNDAI GALOPPER II    ";"N"
25463;"I/HYUNDAI HD 72          ";"N"
25464;"I/HYUNDAI SANTA FE       ";"N"
25465;"I/HYUNDAI TUCSON AWD     ";"N"
25466;"I/HYUNDAI VELOSTER       ";"N"
25467;"I/INFINITI FX 37         ";"N"
25468;"I/INFINITI G 37 CONV     ";"N"
25469;"I/INNOCENTTI LAMBRETTA   ";"N"
25470;"I/INTERNATIONAL HAR L110 ";"N"
25471;"I/IRISBUS EURORIDER 4X2  ";"N"
25472;"I/IRISBUS EURORIDER CNG  ";"N"
25473;"I/IVECO DAILY 35C14G     ";"N"
25474;"I/IVECO DAILY50CEMINIBUS ";"N"
25475;"I/IVECO MAGIRUS EC ML100 ";"N"
25476;"I/IVECO STRALIS 460S36T  ";"N"
25477;"I/IVECO STRALIS 490S40T  ";"N"
25478;"I/IVECO STRALIS 490S48T  ";"N"
25479;"I/IVECO STRALIS 530S36T  ";"N"
25480;"I/IVECO STRALIS 600S40T  ";"N"
25481;"I/IVECO STRALIS 600S48T  ";"N"
25482;"I/IVECO STRALIS 800S40TZ ";"N"
25483;"I/IVECO STRALIS 800S48TZ ";"N"
25484;"I/IVECO TRAKKER 410T     ";"N"
25485;"I/IVECO TRAKKER 410T44   ";"N"
25486;"I/IVECO TRAKKER 740T44T  ";"N"
25487;"I/IVECO TRAKKER 740TT    ";"N"
25488;"I/IVECOECCURSOR GNG 450  ";"N"
25489;"I/JAC 15 1.5             ";"N"
25490;"I/JAC A13 1.3            ";"N"
25491;"I/JAC B15 1.5            ";"N"
25492;"I/JAC HFC1061KLE 30L4X2  ";"N"
25493;"I/JAC J2 1.4             ";"N"
25494;"I/JAC J2 SPORT           ";"N"
25495;"I/JAC J3 FLEX            ";"N"
25496;"I/JAC J3 FLEX TURIN      ";"N"
25497;"I/JAC REFINE 2.0         ";"N"
25498;"I/JAGUAR E-TYPE XKE FHC  ";"N"
25499;"I/JAGUAR MARK VIII SEDAN ";"N"
25500;"I/JAGUAR S 3.8 MKII      ";"N"
25501;"I/JAGUAR XF 2.0 PLUXURY  ";"N"
25502;"I/JAGUAR XF 3.0V6 SCPORT ";"N"
25503;"I/JAGUAR XJ 2.0 P LUXURY ";"N"
25504;"I/JAGUAR XJL SUPERCHARGE ";"N"
25505;"I/JAGUAR XK120 ROADSTER  ";"N"
25506;"I/JBC SY1040 DVA         ";"N"
25507;"I/JEEP G.CHEROKEE SRT8   ";"N"
25508;"I/JEEP KAISER M 175      ";"N"
25509;"I/JEEP WAGONEER 4X4 SW   ";"N"
25510;"I/JEEP WRANGLER SPT 3.6L ";"N"
25511;"I/JEEP WRANGLER ULT 3.6L ";"N"
25512;"I/JIAJUE AMZ 2500W       ";"N"
25513;"I/JIAJUE ARDOUR JJ150T23 ";"N"
25514;"I/JIANSHE P TORK FLY125  ";"N"
25515;"I/JIANSHE PROTORK F100   ";"N"
25516;"I/JIMBEI8 HAISE SY6480A1C";"N"
25517;"I/JINBEI HAISE 2.2L LWD  ";"N"
25518;"I/JINBEI HAISE 2.2LN3LWB ";"N"
25519;"I/JINBEI HAISE SL        ";"N"
25520;"I/JINBEI SHINERAY DTRUCK ";"N"
25521;"I/JINBEI SHINERAY PVAN S ";"N"
25522;"I/JINBEI SHINERAY TRUCK  ";"N"
25523;"I/JINBEI SY 1020         ";"N"
25524;"I/JINLING JLA 923E-1     ";"N"
25525;"I/JONWAY A380 CON FD6390 ";"N"
25526;"I/JONWAY A380 CON FD6421 ";"N"
25527;"I/JONWAY YY125 T12       ";"N"
25528;"I/KAITONG YB 250ZKT      ";"N"
25529;"I/KAMAZ 6460             ";"N"
25530;"I/KANGCHAO D PASSION 125 ";"N"
25531;"I/KANGCHAO DITALLY OUTER ";"N"
25532;"I/KAWASAKI KLX 250       ";"N"
25533;"I/KAWASAKI KZ 1000 LTD   ";"N"
25534;"I/KAWASAKI NINJA 300     ";"N"
25535;"I/KAWASAKI VERSYS 1000 A ";"N"
25536;"I/KAWASAKI ZR 800 B      ";"N"
25537;"I/KEEWAY RKS125          ";"N"
25538;"I/KEEWAY RKV150          ";"N"
25539;"I/KEEWAY TARGET 125      ";"N"
25540;"I/KENWORTH W900 CT       ";"N"
25541;"I/KIA AVELLA LON 13      ";"N"
25542;"I/KIA CERATO FF EX3 ATNB ";"N"
25543;"I/KIA CERATO FF LX3 ATNB ";"N"
25544;"I/KIA CERATO FF SX3 ATNB ";"N"
25545;"I/KIA MOHAVE 3.0         ";"N"
25546;"I/KIA OPTIMA EX 2.0 HEV  ";"N"
25547;"I/KIA RIO EX 1.4 MTHB    ";"N"
25548;"I/KIA RIO LX1.4 ATHB     ";"N"
25549;"I/KIA SOUL GL 2.0 AT     ";"N"
25550;"I/KIA SPORTAGE EX        ";"N"
25551;"I/KIA SPORTAGE EX2 OFFG2 ";"N"
25552;"I/KIA SPORTAGE EX2 OFFG4 ";"N"
25553;"I/KIA SPORTAGE LX2 OFFG2 ";"N"
25554;"I/KIA SPORTAGE LX2 OFFG4 ";"N"
25555;"I/KINGRING JINLUN JL250V ";"N"
25556;"I/KMZ RUSSIAN            ";"N"
25557;"I/KTM 200 DUKE           ";"N"
25558;"I/KTM 690 R              ";"N"
25559;"I/KTM 990 ADVENTURE ABS  ";"N"
25560;"I/KTM EXC 350            ";"N"
25561;"I/KYMCO AGILITY CITY200I ";"N"
25562;"I/KYMCO XCITING 500R ABS ";"N"
25563;"I/LAMBORGHINI G BICOLORE ";"N"
25564;"I/LAMBORGHINI URRACO     ";"N"
25565;"I/LANCIA ESATAU 6ROM     ";"N"
25566;"I/LAND ROVER 109 WAGON   ";"N"
25567;"I/LAND ROVER 88 WAGON    ";"N"
25568;"I/LANDWIND FASHION 2.0L  ";"N"
25569;"I/LANDWIND X8 2.4L 4WD   ";"N"
25570;"I/LEXUS CT200H           ";"N"
25571;"I/LEXUS GS 350           ";"N"
25572;"I/LEXUS GS 350F RWD      ";"N"
25573;"I/LEXUS RX350            ";"N"
25574;"I/LEYLAND MINI 850       ";"N"
25575;"I/LIFAN 620 CVT          ";"N"
25576;"I/LIFAN EASY FRETE 125CC ";"N"
25577;"I/LIFAN LF125T 16        ";"N"
